exerciseNumber,puzzleId,difficulty,game,solutionSequence,moveCount,extractionConfidence,sourcePdfPage
669,intermediate-0669,intermediate,"Boris Spassky - Vladlen Zurakhov, Leningrad 1954","[""Nxf6"", ""gxf6"", ""Qxf6+""]",3,medium,303
670,intermediate-0670,intermediate,"Semen Furman - Boris Spassky, Moscow 1955","[""f4"", ""Ng3+"", ""hxg3"", ""Rh6#"", ""Rab1"", ""Rb6"", ""Qxa7"", ""Ng3+"", ""hxg3"", ""Rh6+"", ""Bxh6"", ""Qxa7"", ""Rxb5"", ""gxh6"", ""Be3"", ""Qe5"", ""Qxe3"", ""Bxc4+""]",18,low,303
671,intermediate-0671,intermediate,"Boris Spassky - Mark Taimanov, Moscow 1955","[""Nxb5"", ""axb5"", ""Qh5+"", ""Rxa8+"", ""Qf7"", ""Rxa8+"", ""Bxa8"", ""Rd8+"", ""Kxd8"", ""Qxf7"", ""gxh4""]",11,medium,303
672,intermediate-0672,intermediate,"Nikolai Krogius - Boris Spassky, Leningrad 1957","[""Bd5+"", ""Kg3"", ""Ne2+"", ""Kh3"", ""Nxf4+"", ""Bf2"", ""Nxf4#"", ""Nxg1#"", ""Kg3"", ""Ne2+""]",10,medium,303
673,intermediate-0673,intermediate,"David Bronstein - Boris Spassky, Riga 1958","[""Nf3+"", ""Qb5"", ""gxf3"", ""Qg5+""]",4,medium,303
674,intermediate-0674,intermediate,"Boris Spassky - Fridrik Olafsson, Moscow 1959","[""Rg8+"", ""Kh7"", ""Rxg8"", ""Qxh6#""]",4,medium,303
675,intermediate-0675,intermediate,"Igor Zaitsev - Boris Spassky, Rostov on Don 1960","[""Qc4"", ""Qxc4"", ""Rh1+"", ""Kg8"", ""Rh8#""]",5,medium,303
676,intermediate-0676,intermediate,"Boris Spassky - Vladimir Shishkin, Rostov on Don 1960","[""Bf4"", ""Qxf4"", ""Qb6+"", ""Qb5+"", ""Ka7"", ""Kc8"", ""Ka8"", ""Qxd8+""]",8,medium,304
677,intermediate-0677,intermediate,"Boris Spassky - Alberto Foguelman, Mar del Plata 1960","[""Nxg6+"", ""Rc1"", ""Qxd6"", ""fxg6"", ""Rd8+"", ""Qxg6"", ""cxd1=Q+"", ""Rxd1"", ""Qf8"", ""Kg7"", ""Kh7"", ""Rc1""]",12,medium,304
678,intermediate-0678,intermediate,"Boris Spassky - Dragoljub Ciric, Marianske Lazne 1962","[""Rf4""]",1,medium,304
679,intermediate-0679,intermediate,Boris Spassky - Valery Bykov Leningrad 1963,"[""Rxe4"", ""Rxe4"", ""fxe4"", ""Bg4""]",4,medium,304
680,intermediate-0680,intermediate,"Boris Spassky - Viktor Korchnoi, Moscow 1964","[""Nxd5"", ""Nc7"", ""Nxf6+"", ""Qxf6"", ""Bxb7"", ""Bxd5"", ""Bd8"", ""Nf6+"", ""Nc7"", ""Nf4"", ""Qd6+""]",11,medium,304
